datei,kontext,zeile,alte_referenz,neue_referenz,aktion
data/Aufsatzablage/SZDESS.xml,SZDESS.213,19220,"author/@ref=""#SZDPER.213""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.214,19317,"author/@ref=""#SZDPER.214""","author/@ref=""#SZDPER.1555""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.215,19401,"author/@ref=""#SZDPER.215""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.216,19500,"author/@ref=""#SZDPER.216""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.217,19580,"author/@ref=""#SZDPER.217""","author/@ref=""#SZDPER.1555""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.218,19664,"author/@ref=""#SZDPER.218""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.220,19842,"author/@ref=""#SZDPER.220""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.221,19940,"author/@ref=""#SZDPER.221""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.222,20038,"author/@ref=""#SZDPER.222""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.223,20136,"author/@ref=""#SZDPER.223""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.224,20232,"author/@ref=""#SZDPER.224""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.226,20401,"author/@ref=""#SZDPER.226""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.227,20497,"author/@ref=""#SZDPER.227""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.228,20578,"author/@ref=""#SZDPER.228""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.229,20672,"author/@ref=""#SZDPER.229""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.230,20752,"author/@ref=""#SZDPER.230""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.231,20849,"author/@ref=""#SZDPER.231""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.233,21034,"author/@ref=""#SZDPER.233""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.235,21217,"author/@ref=""#SZDPER.235""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.236,21306,"author/@ref=""#SZDPER.236""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.238,21487,"author/@ref=""#SZDPER.238""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.240,21654,"author/@ref=""#SZDPER.240""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.241,21738,"author/@ref=""#SZDPER.241""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.243,21920,"author/@ref=""#SZDPER.243""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.245,22083,"author/@ref=""#SZDPER.245""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.247,22262,"author/@ref=""#SZDPER.247""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.249,22428,"author/@ref=""#SZDPER.249""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.251,22610,"author/@ref=""#SZDPER.251""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.252,22709,"author/@ref=""#SZDPER.252""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.253,22806,"author/@ref=""#SZDPER.253""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.254,22885,"author/@ref=""#SZDPER.254""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.256,23050,"author/@ref=""#SZDPER.256""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.257,23147,"author/@ref=""#SZDPER.257""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.259,23332,"author/@ref=""#SZDPER.259""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.261,23507,"author/@ref=""#SZDPER.261""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.262,23584,"author/@ref=""#SZDPER.262""","author/@ref=""#SZDPER.1555""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.263,23667,"author/@ref=""#SZDPER.263""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.265,23854,"author/@ref=""#SZDPER.265""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.266,23963,"author/@ref=""#SZDPER.266""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
