date,szdper,name,status
2026-09-24,SZDPER.1163,"Ribbentrop, Joachim von",removed
2026-09-24,SZDPER.1195,"Röntgen, Wilhelm Conrad",removed
2026-09-24,SZDPER.1196,"Rops, Félicien",removed
2026-09-24,SZDPER.1199,"Rosé, Arnold",removed
2026-09-24,SZDPER.1207,"Rostand, Edmond",removed
2026-09-24,SZDPER.1222,"Rutherford, Ernest",removed
2026-09-24,SZDPER.1228,"Sadoul, Jacques",removed
2026-09-24,SZDPER.1240,"Samassa, Paul",removed
2026-09-24,SZDPER.1248,"Sassoon, Siegfried",removed
2026-09-24,SZDPER.1264,"Schlenther, Paul",removed
2026-09-24,SZDPER.1278,"Schönerer, Georg von",removed
2026-09-24,SZDPER.1282,"Schratt, Katharina",removed
2026-09-24,SZDPER.1289,"Schuhmeier, Franz",removed
2026-09-24,SZDPER.1293,"Schuschnigg, Kurt",removed
2026-09-24,SZDPER.1297,"Schwind, Moritz von",removed
2026-09-24,SZDPER.1303,"Seipel, Ignaz",removed
2026-09-24,SZDPER.1314,"Sholes, Christopher Latham",removed
2026-09-24,SZDPER.1319,"Sieghart, Rudolf",removed
2026-09-24,SZDPER.1332,"Sonnenthal, Adolf von",removed
2026-09-24,SZDPER.1333,Sophokles,removed
2026-09-24,SZDPER.1334,"Sorel, Georges",removed
2026-09-24,SZDPER.1335,"Sosnosky, Theodor von",removed
2026-09-24,SZDPER.1336,"Soulé, Samuel Willard",removed
2026-09-24,SZDPER.1341,"Spengler, Oswald",removed
2026-09-24,SZDPER.1349,"Starhemberg, Ernst Rüdiger",removed
2026-09-24,SZDPER.1359,"Stinnes, Hugo",removed
2026-09-24,SZDPER.1369,"Straus, Oscar",removed
2026-09-24,SZDPER.1394,"Szegö, István",removed
2026-09-24,SZDPER.1401,"Tardieu, André",removed
2026-09-24,SZDPER.1403,"Techow, Ernst-Werner",removed
2026-09-24,SZDPER.1405,"Telemann, Georg Philipp",removed
2026-09-24,SZDPER.1413,"Thackeray, William Makepeace",removed
2026-09-24,SZDPER.1421,"Thun, Maria Wilhelmine von",removed
2026-09-24,SZDPER.1427,Tizian,removed
2026-09-24,SZDPER.1439,"Trotzki, Leo",removed
2026-09-24,SZDPER.1447,"Vanzetti, Bartolomeo",removed
2026-09-24,SZDPER.1452,"Velázquez, Diego",removed
2026-09-24,SZDPER.1457,Vercingetorix,removed
2026-09-24,SZDPER.1459,"Verdaguer Travesi, Mario",removed
2026-09-24,SZDPER.1464,"Vermeer van Delft, Jan",removed
2026-09-24,SZDPER.1468,"Victoria, Königin von Großbritannien",removed
2026-09-24,SZDPER.1474,"Vogel, Carl",removed
2026-09-24,SZDPER.1490,"Wallmann, Margarethe",removed
2026-09-24,SZDPER.1510,"Weygand, Maxime",removed
2026-09-24,SZDPER.1512,"Steed, Henry Wickham",removed
2026-09-24,SZDPER.1518,"Wieser, Friedrich von",removed
2026-09-24,SZDPER.1536,"Wolter, Charlotte",removed
2026-09-24,SZDPER.1537,"Wright, Orville",removed
2026-09-24,SZDPER.1538,"Wright, Wilbur",removed
2026-09-24,SZDPER.1540,"Wundt, Wilhelm",removed
2026-09-24,SZDPER.1543,"Yorck von Wartenburg, Hans Ludwig",removed
2026-09-24,SZDPER.1545,"Zeppelin, Ferdinand von",removed
2026-09-24,SZDPER.1649,"Urzidil, Johannes",removed
2026-09-24,SZDPER.1651,"Shuster, George N.",removed
2026-09-24,SZDPER.1657,Unidentified signatures,removed
2026-09-24,SZDPER.1665,"Maril, Konrad",removed
2026-09-24,SZDPER.1750,Isaacs,removed
2026-09-24,SZDPER.1761,"Carlow(?), J.",removed
2026-09-24,SZDPER.1804,Filed as Unidentified signatures:,removed
2026-09-24,SZDPER.1805,Filed as Zweig Family:,removed
2026-09-24,SZDPER.1868,Zweig Family,removed
2026-09-24,SZDPER.2065,Tal Lawsuit,removed
2026-09-24,SZDPER.2278,"Billiet, Joseph",removed
2026-09-24,SZDPER.2281,"Gabelentz, Hanns-Conon von der",removed
2026-09-24,SZDPER.2282,"Kessler, Harry Graf",removed
2026-09-24,SZDPER.2291,"Wilnot, Mr.",removed
